ParentLocationCode,ParentLocation,SpatialDimValueCode,Period,Dim1,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
EMR,Eastern Mediterranean,IRQ,1942,Both sexes,566.8,451.4,722.6
EMR,Eastern Mediterranean,IRQ,1943,Both sexes,535.2,435.1,667.6
EMR,Eastern Mediterranean,IRQ,1944,Both sexes,505.8,418.7,618.6
EMR,Eastern Mediterranean,IRQ,1945,Both sexes,477.6,401.6,574
EMR,Eastern Mediterranean,YEM,1957,Both sexes,450,367.5,547.5
EMR,Eastern Mediterranean,IRQ,1946,Both sexes,451,383.6,533.9
EMR,Eastern Mediterranean,YEM,1958,Both sexes,442.9,369.4,526.9
EMR,Eastern Mediterranean,OMN,1959,Both sexes,387.4,294.5,512.7
AFR,Africa,BFA,1944,Both sexes,399.6,310.4,511.6
EMR,Eastern Mediterranean,YEM,1959,Both sexes,435.8,371,510.5
AFR,Africa,SEN,1944,Both sexes,375.1,281.7,507.3
AFR,Africa,MLI,1963,Male,434.2,371.6,504
AFR,Africa,SLE,1956,Both sexes,412.7,341.4,502.7
AFR,Africa,GMB,1956,Male,403,319.4,502
EMR,Eastern Mediterranean,IRQ,1947,Both sexes,425.1,364.7,497.7
EMR,Eastern Mediterranean,LBY,1956,Both sexes,359.4,262.5,497.5
EMR,Eastern Mediterranean,YEM,1960,Both sexes,429.1,370.6,495.6
AFR,Africa,MLI,1963,Both sexes,425.4,364.3,492.4
AFR,Africa,BFA,1945,Both sexes,396.5,317.9,492.1
AFR,Africa,MLI,1964,Male,426.6,371.1,487.7
AFR,Africa,GHA,1932,Both sexes,364.8,275,487.5
AFR,Africa,GMB,1956,Both sexes,391.3,310.5,485.5
AFR,Africa,MLI,1963,Female,416.2,355.7,484.2
AFR,Africa,SLE,1957,Both sexes,407,344.8,484.1
EMR,Eastern Mediterranean,YEM,1961,Both sexes,421.9,368.9,482.2
AFR,Africa,GMB,1957,Male,394.9,320.2,482
AFR,Africa,BFA,1946,Both sexes,394.2,324.2,477.7
AFR,Africa,MLI,1964,Both sexes,417.9,363.8,477.1
AFR,Africa,SEN,1945,Both sexes,368.8,289,476.1
EMR,Eastern Mediterranean,OMN,1960,Both sexes,370.2,290,475.5
AFR,Africa,SSD,1954,Both sexes,371.3,295.8,474.9
AFR,Africa,MLI,1965,Male,419.2,368.8,474.2
EMR,Eastern Mediterranean,YEM,1963,Male,419.6,372.5,473.8
AFR,Africa,GMB,1956,Female,378.4,299.4,471.8
EMR,Eastern Mediterranean,YEM,1962,Both sexes,414.9,366.5,470.3
AFR,Africa,SLE,1959,Male,410.1,359.6,470.1
AFR,Africa,MLI,1964,Female,409,355,468.7
AFR,Africa,SLE,1958,Both sexes,401.2,347.3,467.7
AFR,Africa,MWI,1961,Both sexes,361.5,284,467.7
AFR,Africa,GMB,1957,Both sexes,383.8,311.4,467.4
EMR,Eastern Mediterranean,AFG,1957,Both sexes,375.9,298,466.9
EMR,Eastern Mediterranean,IRQ,1948,Both sexes,400.5,346.2,465.5
AFR,Africa,GMB,1958,Male,387.7,320.8,464.6
AFR,Africa,BFA,1947,Both sexes,391.6,328.6,464
AFR,Africa,MLI,1965,Both sexes,410.8,362.2,463.6
AFR,Africa,SSD,1964,Both sexes,340.8,243.1,462.7
AFR,Africa,SSD,1963,Both sexes,344,247.8,462.5
AFR,Africa,MLI,1966,Male,412.2,366.4,462
AFR,Africa,SSD,1955,Both sexes,367.4,298.9,461.9
AFR,Africa,SSD,1965,Both sexes,338.1,239.2,461.7
EMR,Eastern Mediterranean,YEM,1964,Male,411.4,367.2,461.3
AFR,Africa,SSD,1962,Both sexes,347.1,253.5,460.8
AFR,Africa,SSD,1966,Both sexes,335.4,236,459.7
AFR,Africa,SSD,1961,Both sexes,350.4,260.2,459
EMR,Eastern Mediterranean,YEM,1963,Both sexes,407.8,362.8,458.3
AFR,Africa,GHA,1933,Both sexes,358,280.9,458.2
AFR,Africa,SLE,1960,Male,404.4,358.6,456.9
AFR,Africa,SSD,1967,Both sexes,332.5,232.5,456.8
AFR,Africa,SSD,1959,Both sexes,355.5,275.6,455.8
AFR,Africa,SSD,1960,Both sexes,353.1,267.3,455.7
AFR,Africa,MLI,1965,Female,401.8,353.5,455.3
AFR,Africa,SSD,1956,Both sexes,364.6,295.6,454.6
AFR,Africa,SSD,1958,Both sexes,358.3,282.7,454.5
AFR,Africa,SSD,1957,Both sexes,361.6,290,454.4
AFR,Africa,SSD,1968,Both sexes,329.3,230.9,454.1
AFR,Africa,GMB,1957,Female,371,300.1,453.6
AFR,Africa,BFA,1948,Both sexes,388.2,331.8,453.2
AFR,Africa,BFA,1950,Male,394.5,343.3,453.1
AFR,Africa,SLE,1959,Both sexes,395.7,347.8,452.6
AFR,Africa,MRT,1940,Both sexes,341.2,257,451.8
AFR,Africa,MWI,1962,Both sexes,360.6,290.1,451.5
AFR,Africa,MLI,1967,Male,405.5,363.1,451.1
AFR,Africa,MLI,1966,Both sexes,404,360.4,451.1
EMR,Eastern Mediterranean,AFG,1958,Both sexes,369.6,300.5,450.6
AFR,Africa,GMB,1958,Both sexes,376.7,311.5,449.5
AFR,Africa,GMB,1959,Male,380.4,320.5,449
AFR,Africa,SEN,1946,Both sexes,362.9,295,448.6
AFR,Africa,SSD,1969,Both sexes,326.3,228.2,448.5
EMR,Eastern Mediterranean,YEM,1965,Male,401.9,360.3,447.1
AFR,Africa,BFA,1951,Male,391.7,341.6,446.9
EMR,Eastern Mediterranean,YEM,1964,Both sexes,399.4,357.8,446.1
EMR,Eastern Mediterranean,YEM,1963,Female,394.8,350.3,445.8
EMR,Eastern Mediterranean,PAK,1950,Both sexes,376.9,319.9,445.4
AFR,Africa,COG,1944,Both sexes,319,229,445.3
EMR,Eastern Mediterranean,LBY,1957,Both sexes,336.6,257.2,444.8
AFR,Africa,SLE,1961,Male,398.6,357.4,444.7
AFR,Africa,BFA,1949,Both sexes,385.6,333.1,443.6
EMR,Eastern Mediterranean,OMN,1961,Both sexes,353.9,283.9,443.3
AFR,Africa,MLI,1966,Female,394.7,351.3,443.2
AFR,Africa,BFA,1952,Male,388.2,339.4,442.7
AFR,Africa,GAB,1944,Both sexes,353.7,278.9,442.6
AFR,Africa,MLI,1968,Male,398.9,359.7,441.5
SEAR,South-East Asia,MDV,1962,Both sexes,335.5,253.4,441.3
AFR,Africa,SSD,1970,Both sexes,323.5,226.6,440.9
AFR,Africa,MLI,1967,Both sexes,397.1,356.9,440.2
AFR,Africa,BEN,1945,Both sexes,373.8,311.1,440
AFR,Africa,MWI,1963,Both sexes,359.1,295.1,439.4
AFR,Africa,GIN,1937,Both sexes,352.1,281.7,439.4
