ParentLocationCode,ParentLocation,SpatialDimValueCode,Period,sex,child mortality
EMR,Eastern Mediterranean,IRQ,1942,Both sexes,566.8
EMR,Eastern Mediterranean,IRQ,1943,Both sexes,535.2
EMR,Eastern Mediterranean,IRQ,1944,Both sexes,505.8
EMR,Eastern Mediterranean,IRQ,1945,Both sexes,477.6
EMR,Eastern Mediterranean,YEM,1957,Both sexes,450
EMR,Eastern Mediterranean,IRQ,1946,Both sexes,451
EMR,Eastern Mediterranean,YEM,1958,Both sexes,442.9
EMR,Eastern Mediterranean,OMN,1959,Both sexes,387.4
AFR,Africa,BFA,1944,Both sexes,399.6
EMR,Eastern Mediterranean,YEM,1959,Both sexes,435.8
AFR,Africa,SEN,1944,Both sexes,375.1
AFR,Africa,MLI,1963,Male,434.2
AFR,Africa,SLE,1956,Both sexes,412.7
AFR,Africa,GMB,1956,Male,403
EMR,Eastern Mediterranean,IRQ,1947,Both sexes,425.1
EMR,Eastern Mediterranean,LBY,1956,Both sexes,359.4
EMR,Eastern Mediterranean,YEM,1960,Both sexes,429.1
AFR,Africa,MLI,1963,Both sexes,425.4
AFR,Africa,BFA,1945,Both sexes,396.5
AFR,Africa,MLI,1964,Male,426.6
AFR,Africa,GHA,1932,Both sexes,364.8
AFR,Africa,GMB,1956,Both sexes,391.3
AFR,Africa,MLI,1963,Female,416.2
AFR,Africa,SLE,1957,Both sexes,407
EMR,Eastern Mediterranean,YEM,1961,Both sexes,421.9
AFR,Africa,GMB,1957,Male,394.9
AFR,Africa,BFA,1946,Both sexes,394.2
AFR,Africa,MLI,1964,Both sexes,417.9
AFR,Africa,SEN,1945,Both sexes,368.8
EMR,Eastern Mediterranean,OMN,1960,Both sexes,370.2
AFR,Africa,SSD,1954,Both sexes,371.3
AFR,Africa,MLI,1965,Male,419.2
EMR,Eastern Mediterranean,YEM,1963,Male,419.6
AFR,Africa,GMB,1956,Female,378.4
EMR,Eastern Mediterranean,YEM,1962,Both sexes,414.9
AFR,Africa,SLE,1959,Male,410.1
AFR,Africa,MLI,1964,Female,409
AFR,Africa,SLE,1958,Both sexes,401.2
AFR,Africa,MWI,1961,Both sexes,361.5
AFR,Africa,GMB,1957,Both sexes,383.8
EMR,Eastern Mediterranean,AFG,1957,Both sexes,375.9
EMR,Eastern Mediterranean,IRQ,1948,Both sexes,400.5
AFR,Africa,GMB,1958,Male,387.7
AFR,Africa,BFA,1947,Both sexes,391.6
AFR,Africa,MLI,1965,Both sexes,410.8
AFR,Africa,SSD,1964,Both sexes,340.8
AFR,Africa,SSD,1963,Both sexes,344
AFR,Africa,MLI,1966,Male,412.2
AFR,Africa,SSD,1955,Both sexes,367.4
AFR,Africa,SSD,1965,Both sexes,338.1
EMR,Eastern Mediterranean,YEM,1964,Male,411.4
AFR,Africa,SSD,1962,Both sexes,347.1
AFR,Africa,SSD,1966,Both sexes,335.4
AFR,Africa,SSD,1961,Both sexes,350.4
EMR,Eastern Mediterranean,YEM,1963,Both sexes,407.8
AFR,Africa,GHA,1933,Both sexes,358
AFR,Africa,SLE,1960,Male,404.4
AFR,Africa,SSD,1967,Both sexes,332.5
AFR,Africa,SSD,1959,Both sexes,355.5
AFR,Africa,SSD,1960,Both sexes,353.1
AFR,Africa,MLI,1965,Female,401.8
AFR,Africa,SSD,1956,Both sexes,364.6
AFR,Africa,SSD,1958,Both sexes,358.3
AFR,Africa,SSD,1957,Both sexes,361.6
AFR,Africa,SSD,1968,Both sexes,329.3
AFR,Africa,GMB,1957,Female,371
AFR,Africa,BFA,1948,Both sexes,388.2
AFR,Africa,BFA,1950,Male,394.5
AFR,Africa,SLE,1959,Both sexes,395.7
AFR,Africa,MRT,1940,Both sexes,341.2
AFR,Africa,MWI,1962,Both sexes,360.6
AFR,Africa,MLI,1967,Male,405.5
AFR,Africa,MLI,1966,Both sexes,404
EMR,Eastern Mediterranean,AFG,1958,Both sexes,369.6
AFR,Africa,GMB,1958,Both sexes,376.7
AFR,Africa,GMB,1959,Male,380.4
AFR,Africa,SEN,1946,Both sexes,362.9
AFR,Africa,SSD,1969,Both sexes,326.3
EMR,Eastern Mediterranean,YEM,1965,Male,401.9
AFR,Africa,BFA,1951,Male,391.7
EMR,Eastern Mediterranean,YEM,1964,Both sexes,399.4
EMR,Eastern Mediterranean,YEM,1963,Female,394.8
EMR,Eastern Mediterranean,PAK,1950,Both sexes,376.9
AFR,Africa,COG,1944,Both sexes,319
EMR,Eastern Mediterranean,LBY,1957,Both sexes,336.6
AFR,Africa,SLE,1961,Male,398.6
AFR,Africa,BFA,1949,Both sexes,385.6
EMR,Eastern Mediterranean,OMN,1961,Both sexes,353.9
AFR,Africa,MLI,1966,Female,394.7
AFR,Africa,BFA,1952,Male,388.2
AFR,Africa,GAB,1944,Both sexes,353.7
AFR,Africa,MLI,1968,Male,398.9
SEAR,South-East Asia,MDV,1962,Both sexes,335.5
AFR,Africa,SSD,1970,Both sexes,323.5
AFR,Africa,MLI,1967,Both sexes,397.1
AFR,Africa,BEN,1945,Both sexes,373.8
AFR,Africa,MWI,1963,Both sexes,359.1
AFR,Africa,GIN,1937,Both sexes,352.1
AFR,Africa,SLE,1960,Both sexes,390.2
AFR,Africa,BFA,1953,Male,384.9
EMR,Eastern Mediterranean,JOR,1945,Both sexes,358.4
AFR,Africa,GMB,1958,Female,363.6
WPR,Western Pacific,KOR,1950,Both sexes,363.3
AFR,Africa,BFA,1950,Both sexes,382.7
AFR,Africa,SLE,1959,Female,380.5
EMR,Eastern Mediterranean,IRQ,1949,Both sexes,377.2
EMR,Eastern Mediterranean,AFG,1959,Both sexes,363.4
AFR,Africa,GMB,1960,Male,373.2
AFR,Africa,BFA,1954,Male,381.5
AFR,Africa,SLE,1962,Male,392.7
AFR,Africa,GMB,1959,Both sexes,369.1
AFR,Africa,SSD,1971,Both sexes,320.6
EMR,Eastern Mediterranean,YEM,1964,Female,387.1
AFR,Africa,GHA,1934,Both sexes,351.6
EMR,Eastern Mediterranean,YEM,1965,Both sexes,390.2
EMR,Eastern Mediterranean,YEM,1966,Male,391.1
AFR,Africa,MLI,1969,Male,392.4
AFR,Africa,MLI,1967,Female,388.4
